WEEK,LACTOSE,DELAC,WHEY CENTRAL,WHEY WEST,WHEY N' EAST,NASS Whey Avg,34% WPC,NONFAT WEST,SWEET CREAM BUTTERMILK CENTRAL,AA BUTTER,CHEESE 40# BLOCKS,CHEESE BARREL,NDPSR Whey Avg,CME Whey Avg,NDPSR NFDM,NONFAT CENTRAL EAST,NONFAT CENTRAL,NONFAT EAST,Year
1/7 - 1/13,0.2225,0.4225,0.2975,0.25125,0.2975,0.282,0.6775,0.9125,,1.35,1.2467,1.255,,,,,0.96,0.96,2002
1/14 - 1/20,0.2225,0.4225,0.2875,0.245,0.29125,0.279,0.67125,0.9125,,1.3617,1.318,1.295,,,,,0.95,0.95,2002
1/21 - 1/27,0.2225,0.4225,0.2725,0.235,0.28625,0.282,0.6675,0.9125,,1.3667,1.3645,1.3235,,,,,0.95,0.95,2002
1/28 - 2/3,0.2225,0.4225,0.25,0.23,0.27125,0.276,0.65875,0.9125,,1.3175,1.3888,1.35,,,,,0.95,0.95,2002
2/4 - 2/10,0.2225,0.4225,0.2425,0.23,0.25125,0.2625,0.6575,0.91125,,1.236,1.267,1.3083,,,,,0.95,0.95,2002
2/11 - 2/17,0.2225,0.4225,0.23,0.2275,0.24375,0.2498,0.6575,0.91125,,1.2167,1.2235,1.19,,,,,0.945,0.945,2002
2/18 - 2/24,0.2225,0.4,0.215,0.225,0.2275,0.2369,0.6575,0.91125,,1.2508,1.214,1.1875,,,,,0.945,0.945,2002
2/25 - 3/3,0.2225,0.4,0.205,0.22,0.21,0.2305,0.64625,0.91125,,1.2413,1.2031,1.1819,,,,,0.945,0.945,2002
3/4 - 3/10,0.2225,0.4,0.2025,0.2125,0.205,0.2194,0.63875,0.9075,,1.2517,1.18,1.15,,,,,0.93,0.93,2002
3/11 - 3/17,0.2225,0.4,0.2025,0.21375,0.20375,0.2117,0.61875,0.9075,,1.2625,1.201,1.168,,,,,0.93,0.93,2002
3/18 - 3/24,0.2225,0.4,0.2125,0.21375,0.20375,0.2064,0.61875,0.9075,,1.2458,1.21,1.18,,,,,0.93,0.93,2002
3/25 - 3/31,0.2225,0.4,0.2125,0.21125,0.19625,0.2079,0.615,0.9025,,1.2375,1.216,1.182,,,,,0.925,0.925,2002
4/1 - 4/7,0.2225,0.3975,0.195,0.2075,0.1975,0.2027,0.6075,0.905,,1.23,1.2338,1.2044,,,,,0.9125,0.9125,2002
4/8 - 4/14,0.2125,0.3975,0.19125,0.20375,0.19625,0.2011,0.59875,0.9025,,1.225,1.239,1.207,,,,,0.91,0.91,2002
4/15 - 4/21,0.205,0.3975,0.1875,0.2025,0.19375,0.1991,0.5887,0.9025,,1.1617,1.245,1.213,,,,,0.875,0.875,2002
4/22 - 4/28,0.2,0.3975,0.1825,0.19125,0.19,0.1962,0.57,0.9025,0.835,1.1567,1.2525,1.2275,,,,,0.875,0.875,2002
4/29 - 5/5,0.195,0.3975,0.18,0.185,0.185,0.1957,0.5525,0.9025,0.85,1.155,1.2465,1.2255,,,,,0.875,0.875,2002
5/6 - 5/12,0.195,0.3975,0.18,0.185,0.1825,0.187,0.5525,0.8975,0.85,1.155,1.2465,1.2255,,,,,0.875,0.875,2002
5/13 - 5/19,0.185,0.3975,0.1725,0.1725,0.1825,0.181,0.5325,0.8975,0.85,1.0383,1.2085,1.1795,,,,,0.89,0.89,2002
5/20 - 5/26,0.18,0.3975,0.165,0.1675,0.1712,0.184,0.5175,0.8975,0.85,1.0992,1.191,1.1535,,,,,0.895,0.895,2002
5/27 - 6/2,0.18,0.37375,0.1625,0.1675,0.1675,0.1714,0.5025,0.895,0.85,1.04,1.2,1.168,,,,,0.895,0.895,2002
6/3 - 6/9,0.18,0.3575,0.1625,0.165,0.165,0.1664,0.4975,0.895,0.85,1.0675,1.1794,1.1413,,,,,0.895,0.895,2002
6/10 - 6/16,0.175,0.3575,0.16,0.1625,0.165,0.1697,0.485,0.895,0.85,1.0958,1.1645,1.13,,,,,0.895,0.895,2002
6/17 - 6/23,0.175,0.3575,0.16,0.1575,0.16625,0.1665,0.47875,0.895,0.85,1.0133,1.141,1.1245,,,,,0.89875,0.89875,2002
6/24 - 6/30,0.175,0.3575,0.155,0.15,0.1663,0.165,0.46375,0.89625,0.85,1.0142,1.126,1.0925,,,,,0.9,0.9,2002
7/1 - 7/7,0.175,0.3575,0.155,0.145,0.16,0.1605,0.4475,0.89875,0.85,1.0475,1.088,1.0735,,,,,0.9,0.9,2002
7/8 - 7/14,0.16,0.3575,0.155,0.1475,0.16,,0.44125,0.8988,0.825,1.045,1.0717,1.0517,,,,,0.91,0.91,2002
7/15 - 7/21,0.16,0.3575,0.155,0.145,0.16,0.1567,0.43875,0.8988,0.75,0.995,1.09,1.069,,,,,0.91,0.91,2002
7/21 - 7/28,0.16,0.3575,0.155,0.14375,0.16,0.1539,0.4388,0.8988,0.75,1.0133,1.0865,1.0745,,,,,0.91,0.91,2002
7/29 - 8/4,0.1575,0.3575,0.155,0.145,0.16,0.1535,0.4325,0.8988,0.83,1.0492,1.058,1.041,,,,,0.91,0.91,2002
8/5 - 8/11,0.1575,0.3575,0.155,0.145,0.16,0.1543,0.4275,0.9025,0.83,1.642,1.162,1.1175,,,,,0.93,0.93,2002
8/12 - 8/18,0.1575,0.3575,0.16,0.1475,0.16125,0.1541,0.4225,0.9025,0.82,0.9892,1.1675,1.1305,,,,,0.93,0.93,2002
8/19 - 8/25,0.1575,0.3575,0.1625,0.14625,0.1625,0.1548,0.4225,0.9025,0.82,0.9683,1.15,1.1265,,,,,0.93,0.93,2002
8/26 - 9/1,0.1575,0.3575,0.1675,0.14875,0.1675,0.1579,0.4275,0.9025,0.77,0.9592,1.153,1.125,,,,,0.93,0.93,2002
9/2 - 9/8,0.1575,0.3425,0.1725,0.1525,0.17625,0.1611,0.4275,0.9025,0.77,0.955,1.1565,1.1215,,,,,0.9375,0.9375,2002
9/9 - 9/15,0.1575,0.33875,0.1825,0.15375,0.18,0.1649,0.435,0.905,0.76,0.9388,1.1419,1.0988,,,,,0.945,0.945,2002
9/16 - 9/22,0.1575,0.325,0.195,0.15875,0.19,0.169,0.44,0.905,0.76,0.9333,1.1235,1.0765,,,,,0.945,0.945,2002
9/23 - 9/29,0.1575,0.3225,0.21,0.16625,0.20125,0.1715,0.45,0.905,0.805,0.9867,1.2305,1.126,,,,,0.95,0.95,2002
9/30 - 10/6,0.16,0.32375,0.22375,0.17375,0.215,0.1779,0.455,0.905,0.805,0.9817,1.289,1.127,,,,,0.9525,0.9525,2002
10/7 - 10/13,0.16,0.3238,0.23,0.1825,0.23125,0.1915,0.4575,0.90625,0.825,0.9883,1.3,1.154,,,,,0.955,0.955,2002
10/14 - 10/20,0.16,0.3238,0.2375,0.18625,0.2375,0.2025,0.46,0.9063,0.8375,1.02,1.295,1.134,,,,,0.955,0.955,2002
10/21 - 10/27,0.165,0.3238,0.24375,0.1925,0.2425,0.2139,0.46,0.9063,0.8375,1.0575,1.22,1.111,,,,,0.955,0.955,2002
10/28 - 11/3,0.165,0.3238,0.2475,0.195,0.25,0.2132,0.475,0.9063,0.8375,1.0383,1.08,1.0485,,,,,0.955,0.955,2002
11/4 - 11/10,0.165,0.325,0.2425,0.2025,0.25,0.2199,0.485,0.9063,0.8375,1.0325,1.076,1.039,,,,,0.955,0.955,2002
11/11 - 11/17,0.165,0.325,0.2425,0.205,0.24625,0.2158,0.495,0.91,0.8375,1.0033,1.075,1.046,,,,,0.96,0.96,2002
11/18 - 11/24,0.165,0.33,0.2375,0.2125,0.2463,0.2249,0.5025,0.91,0.8375,1.0049,1.0725,1.0685,,,,,0.96,0.96,2002
11/25 - 12/1,0.165,0.33,0.22375,0.215,0.24375,0.2219,0.50625,0.91,0.8375,1.0842,1.103,1.0865,,,,,0.96,0.96,2002
12/2 - 12/8,0.165,0.33,0.2075,0.22,0.21875,,0.51,0.91,0.825,1.1075,1.1233,1.0967,,,,,0.96,0.96,2002
12/9 - 12/15,0.165,0.33625,0.1925,0.22,0.20875,0.212,0.5125,0.87,0.825,1.11,1.14,1.1075,,,,,0.96125,0.96125,2002
12/16 - 12/22,0.165,0.3363,0.1838,0.22,0.2088,0.2096,0.5125,0.86,0.825,1.1108,1.1135,1.1,,,,,0.9613,0.9613,2002
12/23 - 12/29,0.165,0.3363,0.1775,0.21625,0.1925,0.1989,0.5125,0.86,0.825,1.1167,1.133,1.101,,,,,0.92875,0.92875,2002
12/30 - 1/5,0.165,0.33625,0.1725,0.2125,0.18375,0.1826,0.5125,0.86,0.825,1.14,1.1492,1.1175,,,,,0.92875,0.92875,2002
